"county","tract","bg","cntyname","LandSQMI","afact"
"County code","Tract","Block group","County name","Land area (sq. mi.)","_us_ to bg allocation factor"
"53009","0012.00","3","Clallam WA",1.0683,0 
"53009","0013.00","1","Clallam WA",0.9906,0 
"53009","0013.00","2","Clallam WA",1.3895,0 
"53009","0013.00","3","Clallam WA",1.4707,0 
"53009","0014.00","1","Clallam WA",3.7662,0.0001 
"53009","0014.00","2","Clallam WA",18.6973,0.0003 
"53009","0014.00","3","Clallam WA",13.2825,0.0002 
"53009","0015.00","1","Clallam WA",191.2492,0.0029 
"53009","0015.00","2","Clallam WA",5.8915,0.0001 
"53009","0016.00","1","Clallam WA",3.5487,0.0001 
"53009","0016.00","2","Clallam WA",4.79,0.0001 
"53009","0017.00","1","Clallam WA",4.4588,0.0001 
"53009","0017.00","2","Clallam WA",8.0366,0.0001 
"53009","0018.00","1","Clallam WA",16.3246,0.0002 
"53009","0018.00","2","Clallam WA",68.9929,0.001 
"53009","0019.00","1","Clallam WA",6.7048,0.0001 
"53009","0019.00","2","Clallam WA",1.8632,0 
"53009","0019.00","3","Clallam WA",4.7979,0.0001 
"53009","0019.00","4","Clallam WA",1.034,0 
"53009","0020.00","1","Clallam WA",5.6631,0.0001 
"53009","0020.00","2","Clallam WA",2.3403,0 
"53009","0021.00","1","Clallam WA",0.7433,0 
"53009","0021.00","2","Clallam WA",0.7133,0 
"53009","0023.00","1","Clallam WA",97.4687,0.0015 
"53009","0023.00","2","Clallam WA",12.7891,0.0002 
"53009","0023.00","3","Clallam WA",1.6405,0 
"53009","9400.00","1","Clallam WA",1.079,0 
"53009","9400.00","2","Clallam WA",41.528,0.0006 
"53011","0401.01","1","Clark WA",34.4367,0.0005 
"53011","0401.01","2","Clark WA",89.5333,0.0013 
"53011","0401.01","3","Clark WA",4.9977,0.0001 
"53011","0401.02","1","Clark WA",7.0669,0.0001 
"53011","0401.02","2","Clark WA",13.702,0.0002 
"53011","0402.01","1","Clark WA",10.8243,0.0002 
"53011","0402.01","2","Clark WA",6.1811,0.0001 
"53011","0402.01","3","Clark WA",1.7763,0 
"53011","0402.01","4","Clark WA",4.3082,0.0001 
"53011","0402.02","1","Clark WA",14.9531,0.0002 
"53011","0402.02","2","Clark WA",12.0382,0.0002 
"53011","0402.03","1","Clark WA",9.1186,0.0001 
"53011","0402.03","2","Clark WA",4.74,0.0001 
"53011","0402.03","3","Clark WA",9.7994,0.0001 
"53011","0403.01","1","Clark WA",5.9368,0.0001 
"53011","0403.01","2","Clark WA",5.0041,0.0001 
"53011","0403.02","1","Clark WA",7.9154,0.0001 
"53011","0403.02","2","Clark WA",8.7177,0.0001 
"53011","0403.02","3","Clark WA",5.981,0.0001 
"53011","0404.03","1","Clark WA",10.5391,0.0002 
"53011","0404.03","2","Clark WA",5.9598,0.0001 
"53011","0404.07","1","Clark WA",0.4912,0 
"53011","0404.07","2","Clark WA",0.1972,0 
"53011","0404.07","3","Clark WA",1.5263,0 
"53011","0404.08","1","Clark WA",5.5707,0.0001 
"53011","0404.08","2","Clark WA",2.2742,0 
"53011","0404.09","1","Clark WA",1.3562,0 
"53011","0404.09","2","Clark WA",1.841,0 
"53011","0404.11","1","Clark WA",0.2803,0 
"53011","0404.11","2","Clark WA",0.511,0 
"53011","0404.12","1","Clark WA",0.9658,0 
"53011","0404.12","2","Clark WA",0.5535,0 
"53011","0404.13","1","Clark WA",2.0169,0 
"53011","0404.13","2","Clark WA",0.5166,0 
"53011","0404.14","1","Clark WA",3.2484,0 
"53011","0404.14","2","Clark WA",1.0102,0 
"53011","0404.14","3","Clark WA",0.6498,0 
"53011","0404.15","1","Clark WA",0.7631,0 
"53011","0404.15","2","Clark WA",0.6254,0 
"53011","0404.16","1","Clark WA",3.8778,0.0001 
"53011","0404.16","2","Clark WA",2.0308,0 
"53011","0404.16","3","Clark WA",1.8305,0 
"53011","0405.04","1","Clark WA",60.8977,0.0009 
"53011","0405.04","2","Clark WA",5.8346,0.0001 
"53011","0405.04","3","Clark WA",8.437,0.0001 
"53011","0405.05","1","Clark WA",5.2992,0.0001 
"53011","0405.05","2","Clark WA",5.0455,0.0001 
"53011","0405.05","3","Clark WA",5.0555,0.0001 
"53011","0405.07","1","Clark WA",9.5415,0.0001 
"53011","0405.07","2","Clark WA",0.313,0 
"53011","0405.08","1","Clark WA",0.7333,0 
